"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.730322255015389E9,"2024-10-30 23:04:15.015 UTC+02:00"
"PAUSE",1.522707934583304E2,1.730322407428354E9,"2024-10-30 23:06:47.428 UTC+02:00"
