"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.098509932E1,6.375665568E1,2.531056914E1,9.958116842E1,1.211514859E0,1.732627563E2,4.735802656E0,3.375901396E0
4.198512077E1,6.375664104E1,2.531057305E1,9.949629858E1,1.398143027E0,1.732627563E2,4.735537217E0,3.376273731E0
4.298514235E1,6.375663044E1,2.531057588E1,9.918457472E1,1.302663147E0,1.732627563E2,4.732204893E0,3.380942751E0
4.398516345E1,6.375662203E1,2.531057812E1,9.924498123E1,1.231790262E0,1.732627563E2,4.734953756E0,3.377091938E0
4.498518717E1,6.375661095E1,2.531058108E1,9.930967141E1,1.265431636E0,1.732627563E2,4.733477117E0,3.379161348E0
4.598520708E1,6.375659899E1,2.531058427E1,9.935279091E1,1.615850151E0,1.732627563E2,4.734887847E0,3.377184347E0
4.698522735E1,6.375658983E1,2.531058671E1,9.917378323E1,1.375250013E0,1.732627563E2,4.736634637E0,3.374733967E0
4.798525095E1,6.375657908E1,2.531058958E1,9.911801782E1,1.320624598E0,1.732627563E2,4.739970082E0,3.370047575E0
4.898526919E1,6.375656835E1,2.531059248E1,9.917549885E1,1.255448704E0,1.732377319E2,4.737791327E0,3.373109896E0
4.998529077E1,6.375655711E1,2.531059549E1,9.972456366E1,1.333521951E0,1.732377319E2,4.740822935E0,3.368847715E0
5.098531175E1,6.375654413E1,2.531059896E1,9.964653464E1,1.206375380E0,1.732377319E2,4.739511895E0,3.370691922E0
5.198533225E1,6.375653247E1,2.531060208E1,9.967591663E1,1.246779831E0,1.732377319E2,4.742925500E0,3.365886916E0
5.298535264E1,6.375652424E1,2.531060429E1,9.986634813E1,1.313301209E0,1.732377319E2,4.742075372E0,3.367084526E0
5.398537731E1,6.375651331E1,2.531060722E1,9.999088285E1,1.289283388E0,1.732377319E2,4.747587722E0,3.359307645E0
5.498539400E1,6.375650857E1,2.531062912E1,9.996927673E1,1.360435725E0,1.129385093E2,4.747314622E0,3.359693574E0
5.598541701E1,6.375650393E1,2.531065599E1,9.980531676E1,1.277917393E0,1.120717529E2,4.749526880E0,3.356565425E0
5.698543501E1,6.375650184E1,2.531068702E1,9.982864209E1,1.231633784E0,1.015046431E2,4.754078664E0,3.350115384E0
5.798545814E1,6.375650117E1,2.531072380E1,1.000702949E2,1.186711255E0,9.665735873E1,4.755118894E0,3.348638729E0
