"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.693352916E-1,-1.064943337E-1,2.017349334E-1,2.815685767E-1
7.793682917E-1,-9.598968286E-2,7.590986922E-2,4.027228850E-1
7.894002916E-1,-1.029526569E-2,-7.913628973E-2,3.541383702E-1
7.994332917E-1,5.102600148E-2,-7.496276647E-2,1.902742445E-1
8.094652916E-1,1.119724987E-1,-2.654299691E-2,-6.961285651E-2
8.194982916E-1,2.317233291E-1,-4.073535874E-2,-2.618488419E-1
8.295312916E-1,3.230930903E-1,-7.580483861E-2,-3.018443817E-1
8.395632916E-1,2.370976694E-1,2.278440669E-3,-3.188597792E-1
8.495962917E-1,7.745624763E-2,9.886216410E-2,-2.870474178E-1
8.596282916E-1,-2.174618787E-2,1.161440485E-1,-2.360626209E-1
8.696612917E-1,-4.261055167E-2,-7.445983283E-2,-1.618041515E-1
8.796932916E-1,1.518403133E-2,-3.119367490E-1,-2.325437665E-2
8.897262916E-1,-4.908931229E-2,-4.409340739E-1,9.913310945E-2
8.997582917E-1,-1.048922423E-1,-4.671506499E-1,2.522465444E-1
9.097912916E-1,-6.984491788E-2,-4.644384190E-1,3.237650084E-1
9.198242917E-1,3.409179343E-2,-4.022786428E-1,2.137514001E-1
9.298562916E-1,2.223367572E-1,-3.152137479E-1,1.284054404E-1
9.398892917E-1,3.274697312E-1,-1.236044379E-1,6.291604042E-4
9.499212916E-1,4.034974218E-1,1.677415605E-1,-2.969800830E-3
9.599542916E-1,4.501356179E-1,3.115772183E-1,2.460976124E-2
9.699862917E-1,5.325783984E-1,3.283489332E-1,2.576634049E-2
9.800192916E-1,6.341655477E-1,2.026812322E-1,-9.021084309E-3
9.900512917E-1,5.679798905E-1,1.140188049E-1,-1.175266957E-1
1.000084292E0,3.207540213E-1,1.354044845E-1,-2.707629222E-1
1.010117292E0,5.291862185E-2,8.930050470E-2,-3.991531599E-1
1.020149292E0,2.914656105E-2,1.858530186E-2,-4.513869220E-1
1.030182292E0,1.341800775E-1,-9.997934774E-2,-4.095804995E-1
1.040214292E0,1.638289327E-1,-1.819142611E-1,-2.943757331E-1
1.050247292E0,3.566009433E-2,-9.312085614E-2,-1.921283966E-1
1.060279292E0,-7.159883589E-2,6.564632468E-2,-1.092066926E-1
1.070312292E0,-1.209394323E-1,5.321887180E-2,-1.043143272E-2
1.080344292E0,-1.579265705E-1,-3.320180610E-2,5.249454796E-2
1.090377292E0,-1.671755500E-1,-8.024886869E-2,1.748142064E-1
1.100410292E0,-2.377963934E-1,-5.275474906E-2,2.112154627E-1
1.110442292E0,-3.397249836E-1,4.317101642E-2,2.408421350E-1
1.120475292E0,-3.396434515E-1,3.831154168E-2,2.832373720E-1
1.130507292E0,-3.119569584E-1,-7.102430128E-2,3.620917529E-1
1.140540292E0,-3.183069981E-1,-1.387449988E-1,3.609497917E-1
1.150572292E0,-2.396334789E-1,-6.591215372E-2,2.721656692E-1
1.160605292E0,-1.105259615E-1,9.874171145E-2,1.385258013E-1
1.170637292E0,8.516972093E-3,3.512298189E-1,-7.110214233E-3
1.180670292E0,1.134119553E-2,5.184296349E-1,-1.521001124E-1
1.190703292E0,-7.935864838E-2,5.669221292E-1,-2.463250691E-1
1.200735292E0,-2.038539278E-1,5.673270489E-1,-1.947871256E-1
1.210768292E0,-3.525810739E-1,5.194124056E-1,-6.420359731E-2
1.220800292E0,-4.344472824E-1,4.067011844E-1,-6.687051237E-2
1.230833292E0,-4.813259818E-1,1.882626562E-1,-2.256686103E-1
1.240865292E0,-5.236137763E-1,9.886669569E-2,-2.697870219E-1
1.250898292E0,-4.650414496E-1,1.217102323E-1,-1.680261737E-1
1.260930292E0,-3.777935369E-1,1.768111036E-1,-5.684253752E-2
1.270963292E0,-2.395117472E-1,2.717717861E-1,3.603931367E-2
1.280996292E0,-9.627135420E-2,3.802758627E-1,8.020625710E-2
1.291028292E0,1.555638020E-3,4.195915174E-1,8.253052533E-2
1.301061292E0,-5.248255203E-2,4.360333762E-1,3.051077127E-3
1.311093292E0,-1.823702708E-1,4.761331426E-1,-7.363457143E-2
1.321126292E0,-3.516037484E-1,4.962121888E-1,-1.562680078E-1
1.331158292E0,-5.547066744E-1,4.664291766E-1,-1.988649738E-1
1.341191292E0,-7.448178913E-1,4.730975606E-1,-1.663094312E-1
1.351223292E0,-8.379629403E-1,4.825398637E-1,-8.947000086E-2
1.361256292E0,-7.393592231E-1,4.056911509E-1,9.213983953E-2
1.371288292E0,-4.075608712E-1,2.621156942E-1,3.358278143E-1
1.381321292E0,-1.681511031E-1,1.377432977E-1,5.356417912E-1
1.391354292E0,-1.242943728E-1,1.044501288E-1,5.589733511E-1
1.401386292E0,-1.251965981E-1,3.185387671E-2,4.444860381E-1
1.411419292E0,-7.204243400E-2,-1.444966125E-1,2.620418000E-1
1.421451292E0,-6.626935464E-2,-2.617778713E-1,1.470428556E-1
1.431484292E0,-7.289069597E-2,-3.592380193E-1,1.608346832E-1
1.441516292E0,-5.296176790E-2,-4.859410429E-1,1.379890269E-1
1.451549292E0,-3.687990803E-2,-5.693948436E-1,4.241921067E-2
1.461581292E0,-2.825816342E-2,-5.118361683E-1,-3.052363515E-2
1.471615125E0,5.796483291E-2,-3.510697514E-1,-1.700341076E-1
1.481648125E0,2.362410706E-1,-1.515836571E-1,-3.286328155E-1
1.491680125E0,4.245467404E-1,-1.121044996E-1,-2.738777339E-1
1.501713125E0,5.218606348E-1,-1.089722192E-1,-5.150052130E-2
1.511745125E0,5.760427623E-1,-6.769818574E-2,2.144770396E-1
1.521778125E0,6.233059526E-1,-1.116244432E-1,3.417948979E-1
1.531810125E0,7.674211805E-1,-1.933561657E-1,3.923703897E-1
1.541843125E0,1.021579033E0,-5.284329783E-1,6.464161223E-1
1.551875125E0,1.188164015E0,-8.392578793E-1,1.134036486E0
1.561908125E0,1.134644231E0,-1.062276678E0,1.348369684E0
1.571940125E0,9.665739834E-1,-1.244044100E0,1.313322642E0
1.581973125E0,6.057234848E-1,-1.115403237E0,8.966219884E-1
1.592006125E0,2.663492611E-1,-6.417097715E-1,4.453561038E-1
1.602038125E0,2.505600612E-1,-3.329107846E-1,2.849038285E-1
1.612071125E0,4.305559970E-1,-1.357507858E-1,2.354597729E-1
1.622103125E0,6.689639360E-1,2.397314563E-2,2.095618701E-1
1.632136125E0,9.257504048E-1,3.252981484E-2,-6.689857900E-2
1.642168125E0,9.067113590E-1,-7.993933171E-2,-5.065209031E-1
1.652201125E0,6.836441749E-1,-1.673639765E-1,-6.026514673E-1
1.662233125E0,3.658702236E-1,-1.789901416E-1,-4.730169421E-1
1.672266125E0,-1.509122506E-1,-2.167242707E-1,-3.624683136E-1
1.682298125E0,-7.367640826E-1,5.176116094E-2,-3.731348044E-1
1.692331125E0,-8.258740412E-1,7.476972064E-1,-6.743564576E-1
1.702364125E0,-2.497434975E-1,9.769782266E-1,-1.094268987E0
1.712396125E0,5.133207764E-1,6.025837858E-1,-1.418485985E0
1.722429125E0,1.080676257E0,9.347548977E-2,-1.324565669E0
1.732461125E0,1.148616372E0,-9.926130965E-2,-7.363895684E-1
1.742494125E0,1.053349295E0,-1.284048557E-3,6.763357401E-2
1.752526125E0,8.551202059E-1,-7.739506200E-2,6.992498088E-1
1.762559125E0,4.578447331E-1,-3.904219513E-1,9.885454810E-1
1.772591125E0,1.794617195E-1,-6.054595926E-1,1.175674508E0
1.782624125E0,1.224420114E-1,-7.712375119E-1,1.372740294E0
1.792656125E0,3.411486344E-1,-8.415609513E-1,1.248684012E0
1.802689125E0,4.330817749E-1,-6.850100845E-1,7.581827259E-1
1.812722125E0,3.301535301E-1,-2.772014375E-1,5.388384640E-2
1.822754125E0,2.267602855E-1,2.313773932E-1,-5.719734657E-1
1.832787125E0,2.863720644E-1,5.999775356E-1,-8.866688579E-1
1.842819125E0,3.285521239E-1,5.875305676E-1,-9.817311358E-1
1.852852125E0,2.799928983E-1,2.714577176E-1,-7.486599505E-1
1.862884125E0,3.612078001E-1,-5.124514416E-2,-1.177108830E-1
1.872917125E0,5.221262446E-1,-1.795795409E-1,5.195637023E-1
1.882949125E0,6.763032880E-1,-1.189800212E-1,9.543188041E-1
1.892982125E0,6.866145605E-1,-7.761389405E-2,1.018287343E0
1.903014125E0,4.280325580E-1,-1.031557015E-1,5.477987373E-1
1.913047125E0,8.812367946E-2,-6.219317839E-2,-1.085126281E-1
1.923080125E0,-1.299298096E-1,-1.494494234E-1,-7.049128371E-1
1.933112125E0,-4.629085681E-1,-2.371371929E-1,-1.200183113E0
1.943145125E0,-5.234439147E-1,-1.964222994E-1,-3.285351670E-1
1.953177125E0,-3.297613281E-1,-1.735019450E-1,1.549137926E-1
1.963210125E0,-2.124755377E-1,-1.751691324E-1,2.436172235E-1
1.973242125E0,-8.043049783E-2,-2.129898003E-1,1.071771240E-1
1.983275125E0,-1.436134636E-2,-1.844039324E-1,-2.898710382E-1
1.993307125E0,9.935647309E-2,-4.388817742E-2,-5.370837146E-1
2.003340125E0,1.611627120E-1,9.285700053E-2,-5.369679397E-1
2.013372125E0,1.041185917E-1,2.497280024E-1,-3.472690612E-1
2.023405125E0,7.766798079E-2,2.388495500E-1,-4.996925247E-1
2.033438125E0,-1.298520416E-1,4.372109324E-2,-7.824679667E-1
2.043470125E0,-3.666895647E-1,-1.283010677E-1,-5.114138532E-1
2.053503125E0,-3.627491261E-1,-3.170046039E-1,2.989102489E-1
2.063535125E0,-2.055625208E-1,-4.831870043E-1,1.164671803E0
2.073568125E0,3.611196533E-2,-4.496634552E-1,1.541880362E0
2.083600125E0,2.009060906E-1,-2.366853493E-1,1.313535481E0
2.093633125E0,3.434495138E-1,2.206139848E-2,6.851241052E-1
2.103665125E0,3.034748778E-1,1.680685660E-1,4.361905932E-2
2.113698125E0,1.666745898E-1,2.441808951E-1,-2.720580804E-1
2.123730125E0,1.722768071E-1,3.179350421E-1,-2.254926091E-1
2.133763125E0,1.029333611E-1,3.824524887E-1,-1.075039834E-1
2.143795125E0,1.079167968E-1,4.477196945E-1,-7.301710546E-2
2.153828125E0,2.073833437E-1,4.594731827E-1,-1.415488118E-1
